image_directory_entry_security,directory_44944-53032,function_34-36,e_lfanew,function_41-44,function_53-57,directory_0-11,SizeOfCode,hal.dll,msvfw32.dll,mpr.dll,e_crlc,ws2_32.dll,function_1822,directory_1096-1508,rassapi.dll,NumberOfSections,modemui.dll,clusapi.dll,directory_462-520,counter_api,directory_164-218,dsound.dll,wininet.dll,MinorLinkerVersion,directory_256116-406072,uxtheme.dll,md5,kernel32.dll,esent.dll,other_directory,SizeOfUninitializedData,CheckSum,MajorImageVersion,function_104-113,e_magic,userenv.dll,LoaderFlags,winspool.drv,function_16-19,directory_79-86,e_ovno,winsta.dll,version.dll,function_28-30,function_776-1822,mscoree.dll,shimeng.dll,PointerToSymbolTable,function_44-47,function_121-131,directory_3044-4096,directory_17864-21608,directory_139264-172032,function_113-121,rasapi32.dll,directory_406072-2638060,e_cs,function_75-81,directory_26208-32632,msvbvm60.dll,wintrust.dll,mswsock.dll,directory_204800-256116,mfc42.dll,BaseOfCode,ntdll.dll,psapi.dll,AddressOfEntryPoint,Characteristics,counter_export,e_cblp,advapi32.dll,function_11-12,function_24-26,Subsystem,SectionAlignment,shell32.dll,directory_65536-77824,MajorLinkerVersion,directory_71-72,odbc32.dll,wnhelp.dll,secur32.dll,lz32.dll,directory_744-988,msimg32.dll,ntoskrnl.exe,msvcr80.dll,function_62-66,function_230-263,winhttp.dll,directory_86-99,function_81-88,directory_218-307,SizeOfHeapCommit,gdi32.dll,SizeOfOptionalHeader,directory_20-24,SizeOfStackCommit,function_22-24,image_directory_entry_bound_import,directory_72-79,directory_28-59,avicap32.dll,strings (see raw report for details),directory_77824-89232,e_sp,relocations,function_152-167,directory_58000-65536,function_36-38,wtsapi32.dll,mfc42u.dll,image_directory_entry_export,function_30-32,e_lfarlc,resutils.dll,function_26-28,function_38-41,function_184-204,MinorImageVersion,e_oeminfo,sqlite3.dll,function_12-15,function_263-303,apt,urlmon.dll,wsock32.dll,directory_11296-12736,nddeapi.dll,MinorOperatingSystemVersion,directory_2638060,comdlg32.dll,SizeOfHeaders,function_57-62,MajorSubsystemVersion,directory_101-135,directory_114400-139264,e_cp,cabinet.dll,MinorSubsystemVersion,authz.dll,ole32.dll,image_directory_entry_debug,function_141-152,directory_2596-3044,shlwapi.dll,function_88-96,image_directory_entry_delay_import,oleacc.dll,msvcr90.dll,rpcrt4.dll,function_9-10,function_542-776,directory_4096-6224,function_167-184,MajorOperatingSystemVersion,directory_62-64,image_directory_entry_exception,user32.dll,image_directory_entry_resource,directory_59-62,directory_520-576,SizeOfInitializedData,gdiplus.dll,function_5-6,function_6-8,odbctrac.dll,SizeOfHeapReserve,image_directory_entry_tls,function_10-11,directory_576-744,directory_12736-17864,netapi32.dll,azroles.dll,directory_53032-58000,NumberOfRvaAndSizes,functions,function_70-75,cfgmgr32.dll,pdh.dll,ntlanman.dll,clbcatq.dll,imagehlp.dll,function_0-5,directory_64-71,directory_21608-26208,FileAlignment,d3d9.dll,directory_172032-204800,function_303-357,filesize,function_19-22,image_directory_entry_com_descriptor,function_357-424,e_oemid,image_directory_entry_iat,directory_8396-11296,msvcp90.dll,directory_24-28,wpcap.dll,directory_135-164,directory_89232-114400,image_directory_entry_basereloc,msvcrt.dll,eappcfg.dll,dbghelp.dll,e_ss,function_32-34,function_47-50,function_96-104,DllCharacteristics,directory_11-20,opengl32.dll,setupapi.dll,function_50-53,dbnmpntw.dll,BaseOfData,counter_dll,oledlg.dll,comctl32.dll,imm32.dll,Machine,e_minalloc,image_directory_entry_load_config,directory_1508-2596,directory_36864-44944,avifil32.dll,e_ip,function_8-9,function_424-542,Magic,directory_32632-36864,e_csum,mfc90.dll,TimeDateStamp,directory_6224-8396,SizeOfStackReserve,crypt32.dll,directory_307-420,cmdial32.dll,e_maxalloc,ImageBase,function_15-16,function_131-141,Reserved1,directory_988-1096,NumberOfSymbols,SizeOfImage,function_204-230,image_directory_entry_import,directory_99-101,directory_420-462,msvcp60.dll,function_66-70,cryptui.dll,cryptdll.dll,e_cparhdr,winmm.dll,iphlpapi.dll,dciman32.dll,dnsapi.dll,oleaut32.dll,other_import_function,tapi16.dll
0,0,0,124,0,0,0,167936,0,0,0,0,0,0,0,0,3,1,0,1,49,0,0,0,20,0,0,0022c1fe1d6b036de2a08d50ac5446a5,1,0,0,0,0,0,0,23117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4096,0,0,13224,271,0,144,0,0,0,2,4096,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,0,224,0,4096,0,1,0,0,0,0,0,184,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,Carbanak,0,0,0,0,0,0,0,4096,0,4,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,8192,0,0,0,0,1048576,0,0,0,0,0,1,0,16,1,0,0,0,0,0,0,0,0,0,4096,0,1,0,180224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172032,4,0,0,0,332,0,0,0,0,0,0,0,0,267,0,0,0,1409229181,0,1048576,0,0,0,65535,4194304,0,0,0,0,0,212992,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,1,0,248,0,0,0,20480,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,002e27938c9390a942cf4b4c319f1768,1,0,0,0,0,0,0,23117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,0,0,45268,271,0,144,0,0,0,2,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,0,224,0,4096,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,APT30,0,0,0,0,0,0,0,1024,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,20480,0,0,1,0,1048576,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,1,0,0,512,0,0,0,43520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24576,3,0,1,0,332,0,0,0,1,0,0,0,0,267,0,0,0,0,0,1048576,0,0,0,65535,4194304,0,0,0,0,0,68247,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,0,0,512,0,0,0,28672,0,0,0,0,0,1,0,0,3,0,0,0,9,0,0,0,0,0,0,003ab666a73721404c8dae4613aec613,1,0,0,110592,0,0,1,23117,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,114688,0,0,141888,271,0,80,1,0,0,2,4096,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,1,224,0,8192,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,Patchwork,0,0,0,0,0,0,0,4096,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,8192,0,0,0,0,1048576,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,512,0,0,0,49837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143360,7,0,1,0,332,15,0,0,0,0,0,0,0,267,0,0,0,1104075268,0,1048576,0,0,0,65535,4194304,0,0,0,0,0,151552,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,1,0,200,0,0,0,49152,0,0,0,0,0,1,0,0,3,0,0,0,82,0,0,0,0,0,0,007d63bf9eb50c6e55125c00d32abdb6,0,0,0,0,489397,12,0,23117,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4096,0,0,7404,271,0,144,0,0,19,2,4096,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4096,0,224,0,4096,0,1,0,0,0,0,0,184,0,0,0,0,0,0,0,0,64,0,0,0,1,0,0,0,0,1,Patchwork,0,0,0,0,0,0,0,4096,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,1,380928,0,0,3,0,1048576,0,0,0,0,0,0,1,16,35,0,0,0,0,0,0,1,0,0,4096,0,0,1,434176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53248,1,0,0,0,332,0,0,0,0,0,0,0,2,267,0,0,0,1364491019,0,1048576,0,0,0,65535,4194304,0,0,0,0,0,434176,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,1,0,200,0,0,0,49152,0,0,0,0,0,1,0,0,3,0,0,0,82,0,0,0,0,0,0,00a0a6071c335f78c161cb4a3dcdc435,0,0,0,0,105282,9,0,23117,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4096,0,0,7404,271,0,144,0,0,19,2,4096,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4096,0,224,0,4096,0,1,0,0,0,0,0,184,0,0,0,0,0,0,0,0,64,0,0,0,1,2,0,0,0,1,Patchwork,0,0,0,0,0,0,0,4096,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,1,36864,0,0,3,0,1048576,0,0,0,0,0,0,1,16,35,0,0,0,0,0,0,0,0,0,4096,0,0,1,90112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53248,1,0,0,0,332,0,0,0,0,0,0,0,2,267,0,0,0,1359009871,0,1048576,0,0,0,65535,4194304,0,0,0,0,0,90112,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,0,0,256,0,0,0,49152,0,0,0,0,1,1,0,0,3,0,0,0,9,0,0,0,10,0,0,010a50145563a6c554de12b8770f16f7,1,0,0,57344,0,0,0,23117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61440,0,0,106720,271,0,144,0,0,0,2,4096,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,0,224,0,4096,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,Transparent Tribe,0,0,0,0,0,0,0,4096,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,4096,0,0,0,0,1048576,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,512,0,0,0,6355618,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110592,4,0,1,0,332,0,1,0,0,0,0,0,0,267,0,0,0,1289578118,0,1048576,0,0,0,65535,4194304,0,0,0,0,0,114688,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,0,2,256,7,5,0,57344,0,0,0,0,1,2,0,0,4,0,0,0,85,0,0,0,10,0,0,010aa8d6e6f5346118546b1e4e414cb2,1,0,0,0,0,0,3,23117,0,0,0,7,0,0,0,0,2,5,0,0,0,6,8,0,0,0,5,0,0,0,5,0,0,0,0,0,0,4096,0,0,27755,271,0,144,0,1,2,2,4096,0,0,7,0,0,0,0,0,0,0,0,0,3,10,0,0,6,0,4096,0,224,0,4096,1,0,0,0,0,0,2,184,0,7,1,2,0,0,0,3,64,0,4,2,6,0,0,0,2,9,Transparent Tribe,0,0,0,0,0,0,0,4096,7,4,0,0,3,0,0,0,0,0,8,0,0,6,0,0,0,0,1,9,0,5,4,0,0,1,1,0,0,40960,0,0,5,0,1048576,0,0,0,0,0,0,0,16,241,5,0,0,0,0,0,10,0,0,4096,0,0,6,6401186,9,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,8,0,0,0,0,2,0,61440,4,0,1,0,332,0,1,0,0,0,0,1,9,267,0,0,0,1289578118,0,1048576,0,0,0,65535,4194304,2,4,0,0,0,102400,10,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0
0,0,2,248,1,7,0,28672,0,0,1,0,0,0,0,0,4,0,0,0,137,0,0,0,0,0,0,010ca5e1de980f5f45f9d82027e1606c,1,0,0,0,0,0,5,23117,0,0,0,3,0,0,0,0,0,5,0,0,0,3,5,0,0,0,3,0,0,0,7,0,0,0,0,0,0,4096,0,0,32207,271,0,144,1,0,0,2,4096,1,0,6,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,4096,0,224,0,4096,0,0,0,0,0,0,0,184,0,2,0,1,0,0,0,5,64,0,0,2,5,0,0,0,0,3,APT30,0,1,0,0,0,0,0,4096,2,4,0,1,3,0,0,0,1,0,3,0,1,9,0,0,0,0,0,7,0,4,4,0,0,0,1,0,0,90112,0,0,19,0,1048576,0,0,0,0,1,0,0,16,155,1,0,0,0,0,0,2,0,0,4096,0,0,7,57344,2,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,3,0,0,0,0,2,0,32768,9,0,0,0,332,0,0,0,0,0,0,0,5,267,2,0,0,1357270465,0,1048576,0,0,0,65535,4194304,0,4,0,0,0,122880,1,1,0,0,0,6,0,0,4,0,0,0,0,0,0,0
1,0,0,128,0,0,1,296448,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0123411a6cfe8afb4a45e4afeed767e7,0,0,0,0,490619,0,0,23117,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,304510,258,0,144,0,0,0,2,8192,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,0,224,0,4096,0,0,1,0,0,0,0,184,2,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,Transparent Tribe,0,0,0,0,0,0,0,512,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,181760,0,0,1,0,1048576,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,512,0,1,0,480672,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34112,1,0,0,0,0,311296,1,0,0,0,332,0,0,1,0,0,0,0,0,267,0,0,0,1434109313,0,1048576,0,0,0,65535,4194304,0,0,0,0,0,507904,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
1,0,38,240,34,43,0,195072,0,0,0,0,0,6,2,0,5,0,0,0,286,0,0,1,0,0,0,0128f683e508c807ec76d5092eaaf22c,1,0,0,0,305747,0,30,23117,0,0,1,38,0,0,0,0,41,18,0,0,0,51,33,0,0,0,45,0,0,0,48,0,0,0,0,0,0,4096,0,0,92999,258,0,144,0,21,32,2,4096,1,0,9,0,0,0,0,0,0,0,0,0,45,27,0,0,36,1,4096,1,224,0,4096,54,0,0,1,0,0,0,184,6132,46,0,34,0,0,0,43,64,0,72,68,22,0,0,0,47,30,Patchwork,0,0,0,0,0,0,1,1024,40,5,0,0,3,0,0,0,1,1,23,0,1,46,0,1,0,1,55,22,1,29,5,0,0,1,1,0,0,90112,0,12,76,0,1048576,0,80,0,1,0,0,0,16,1900,48,0,0,0,0,0,21,1,0,512,0,0,21,292280,57,0,18,0,1,0,0,0,0,0,0,1,0,0,0,0,85,42,28,33088,0,0,0,50,0,200704,12,0,0,0,332,0,1,0,0,0,0,19,23,267,0,0,0,1341407425,0,1048576,0,0,0,65535,4194304,18,26,0,0,0,327680,20,1,0,0,0,39,0,0,4,0,0,0,0,1,0,0
